participant_id,duration,first_click,last_click,page_submit,click_count,gender,age,condition,training_house_value,training_certainty_level,training_first_click,training_last_click,training_page_submit,training_click_count,artemisstreet_house_value,artemisstreet_certainty_level,artemisstreet_first_click,artemisstreet_last_click,artemisstreet_page_submit,artemisstreet_click_count,aphroditestreet_house_value,aphroditestreet_certainty_level,aphroditestreet_first_click,aphroditestreet_last_click,aphroditestreet_page_submit,aphroditestreet_click_count,apollostreet_house_value,apollostreet_certainty_level,apollostreet_first_click,apollostreet_last_click,apollostreet_page_submit,apollostreet_click_count,athenastreet_house_value,athenastreet_certainty_level,athenastreet_first_click,athenastreet_last_click,athenastreet_page_submit,athenastreet_click_count,poseidonstreet_house_value,poseidonstreet_certainty_level,poseidonstreet_first_click,poseidonstreet_last_click,poseidonstreet_page_submit,poseidonstreet_click_count,aresstreet_house_value,aresstreet_certainty_level,aresstreet_first_click,aresstreet_last_click,aresstreet_page_submit,aresstreet_click_count,zeusstreet_house_value,zeusstreet_certainty_level,zeusstreet_first_click,zeusstreet_last_click,zeusstreet_page_submit,zeusstreet_click_count,hephaestusstreet_house_value,hephaestusstreet_certainty_level,hephaestusstreet_first_click,hephaestusstreet_last_click,hephaestusstreet_page_submit,hephaestusstreet_click_count,hestiastreet_house_value,hestiastreet_certainty_level,hestiastreet_first_click,hestiastreet_last_click,hestiastreet_page_submit,hestiastreet_click_count,decision_making,trust_in_ai_pred,ai_support,overall_ai_usefulness
participant_1,423,,,,,Female,20.0,Error bars,500,2,44.733,50.082,50.099,5.0,150,2,32.653,36.303,36.31,4.0,150.0,2,26.645,29.404,29.417,3.0,400.0,2,6.388,10.532,10.545,4.0,450.0,2.0,26.745,34.555,34.566,6.0,500.0,2,7.993,23.83,23.849,5.0,500.0,2,6.339,10.67,10.684,5.0,200.0,2,18.361,31.717,31.736,5.0,150.0,2,7.316,11.872,11.877,5.0,400.0,2,9.388,17.35,17.36,3.0,Mostly based on my own judgement ( ≤ 1 out of 9 cases),3.0,4.0,4.0
participant_2,669,,,,,Male,27.0,Confidence bands,450,4,172.034,181.892,181.902,3.0,100,3,36.266,38.889,38.895,3.0,200.0,3,20.849,30.128,30.145,3.0,400.0,3,28.171,39.336,39.344,6.0,250.0,3.0,55.187,59.016,59.033,3.0,350.0,4,28.026,30.642,30.653,4.0,500.0,4,30.116,34.068,34.077,3.0,200.0,3,18.208,33.841,33.851,4.0,150.0,3,66.909,69.847,69.851,3.0,350.0,2,13.663,23.82,23.826,3.0,Somewhat based on the AI's prediction (6-7 out of 9 cases),4.0,4.0,5.0
participant_3,310,83.204,85.807,85.81,3.0,Prefer not to say,,No AI,450,3,,,,,100,3,64.592,66.604,66.613,3.0,250.0,3,28.655,30.582,30.584,3.0,450.0,3,5.417,8.271,8.279,4.0,500.0,3.0,6.58,9.632,9.635,4.0,500.0,3,8.058,10.323,10.325,3.0,500.0,3,25.892,33.388,33.397,3.0,400.0,3,8.608,11.719,11.721,4.0,150.0,3,14.876,18.062,18.065,3.0,500.0,3,7.991,11.627,11.629,4.0,,,,
participant_4,726,,,,,Male,22.0,Confidence bands,450,4,11.341,193.984,193.989,8.0,100,5,12.036,17.437,17.444,4.0,250.0,2,58.361,60.483,60.493,3.0,400.0,4,41.909,46.253,46.264,5.0,150.0,3.0,30.74,38.987,38.994,4.0,300.0,4,38.428,49.879,49.882,5.0,400.0,4,30.272,31.76,31.764,3.0,150.0,5,133.455,142.555,142.562,3.0,100.0,5,20.404,22.293,22.301,3.0,250.0,2,21.902,27.148,27.158,4.0,Balanced mix of AI and my own judgement (4-5 out of 9 cases),3.0,5.0,4.0
participant_5,499,,,,,Male,25.0,Error bars,650,3,68.285,145.619,145.622,26.0,100,4,10.775,12.983,12.984,3.0,200.0,2,11.361,13.56,13.565,3.0,400.0,3,13.674,14.714,14.721,3.0,300.0,1.0,10.103,13.307,13.311,4.0,350.0,3,34.849,37.304,37.31,3.0,550.0,4,11.692,13.803,13.805,3.0,250.0,2,25.891,45.795,45.797,5.0,100.0,3,17.448,20.277,20.279,5.0,400.0,2,28.909,30.111,30.117,3.0,Balanced mix of AI and my own judgement (4-5 out of 9 cases),3.0,5.0,4.0
participant_6,681,,,,,Female,21.0,Error bars,450,3,46.768,177.534,177.537,19.0,350,4,12.692,19.907,19.91,5.0,350.0,3,9.943,16.126,16.128,6.0,450.0,4,7.843,38.892,38.896,9.0,500.0,4.0,24.653,28.186,28.19,4.0,350.0,3,34.774,118.441,118.445,17.0,450.0,2,35.893,47.51,47.511,5.0,450.0,3,8.041,44.89,44.894,5.0,200.0,4,6.787,21.303,21.306,9.0,350.0,2,25.64,86.457,86.461,14.0,Somewhat based on the AI's prediction (6-7 out of 9 cases),4.0,3.0,4.0
participant_7,277,,,,,Male,21.0,Error bars,450,4,39.043,63.059,63.063,8.0,100,4,4.429,7.348,7.351,5.0,150.0,3,5.408,8.476,8.48,6.0,450.0,4,15.628,23.762,23.766,6.0,450.0,4.0,15.35,17.986,18.004,5.0,300.0,3,7.594,33.941,33.947,12.0,400.0,4,10.491,14.092,14.095,7.0,250.0,3,11.356,13.44,13.444,4.0,100.0,4,8.524,10.192,10.196,3.0,500.0,5,19.644,22.778,22.782,6.0,Somewhat based on the AI's prediction (6-7 out of 9 cases),4.0,4.0,4.0
participant_8,376,71.779,79.09,79.103,3.0,Male,23.0,No AI,500,4,,,,,200,4,85.591,163.163,163.174,6.0,300.0,4,12.426,14.652,14.668,4.0,500.0,4,14.913,18.804,18.807,5.0,500.0,4.0,7.79,10.517,10.532,4.0,500.0,4,3.537,4.961,4.977,3.0,500.0,4,23.493,25.891,25.9,3.0,250.0,4,8.696,12.232,12.238,3.0,250.0,4,6.849,9.054,9.056,4.0,500.0,4,3.975,7.18,7.187,4.0,,,,
participant_9,1399,,,,,Male,21.0,Confidence bands,600,4,635.245,641.324,641.34,9.0,400,3,1.539,3.813,3.817,5.0,400.0,3,1.688,3.289,3.306,4.0,400.0,3,1.534,2.609,2.622,3.0,350.0,3.0,4.107,5.409,5.425,3.0,300.0,4,2.222,4.891,4.893,4.0,500.0,3,6.569,14.812,14.824,7.0,450.0,3,3.244,11.541,11.558,5.0,350.0,3,2.759,4.194,4.199,3.0,500.0,4,2.379,4.165,4.175,4.0,Balanced mix of AI and my own judgement (4-5 out of 9 cases),3.0,3.0,3.0
participant_10,114,37.994,44.702,44.717,3.0,Male,,No AI,600,3,,,,,350,3,1.321,2.219,2.236,3.0,300.0,1,1.543,3.589,3.598,5.0,800.0,5,1.347,2.493,2.498,3.0,700.0,4.0,1.29,2.693,2.707,3.0,600.0,4,1.168,2.982,2.994,5.0,300.0,2,1.529,2.572,2.575,3.0,550.0,4,1.243,2.609,2.617,4.0,500.0,3,1.395,2.632,2.642,4.0,450.0,3,1.905,3.06,3.064,3.0,,,,
