,participant_id,condition,certainty_level,house_name,house_value,complexity,true_value,residual,abs_error
0,participant_1,Error bars,2.0,artemisstreet,1.5,easy,0.889,0.611,0.611
1,participant_2,Confidence bands,3.0,artemisstreet,1.0,easy,0.889,0.11099999999999999,0.11099999999999999
2,participant_3,No AI,3.0,artemisstreet,1.0,easy,0.889,0.11099999999999999,0.11099999999999999
3,participant_4,Confidence bands,5.0,artemisstreet,1.0,easy,0.889,0.11099999999999999,0.11099999999999999
4,participant_5,Error bars,4.0,artemisstreet,1.0,easy,0.889,0.11099999999999999,0.11099999999999999
5,participant_6,Error bars,4.0,artemisstreet,3.5,easy,0.889,2.6109999999999998,2.6109999999999998
6,participant_7,Error bars,4.0,artemisstreet,1.0,easy,0.889,0.11099999999999999,0.11099999999999999
7,participant_8,No AI,4.0,artemisstreet,2.0,easy,0.889,1.111,1.111
8,participant_9,Confidence bands,3.0,artemisstreet,4.0,easy,0.889,3.1109999999999998,3.1109999999999998
9,participant_10,No AI,3.0,artemisstreet,3.5,easy,0.889,2.6109999999999998,2.6109999999999998
10,participant_11,Confidence bands,2.0,artemisstreet,1.0,easy,0.889,0.11099999999999999,0.11099999999999999
11,participant_12,Error bars,3.0,artemisstreet,2.0,easy,0.889,1.111,1.111
12,participant_13,Confidence bands,4.0,artemisstreet,1.0,easy,0.889,0.11099999999999999,0.11099999999999999
13,participant_14,Error bars,3.0,artemisstreet,1.0,easy,0.889,0.11099999999999999,0.11099999999999999
14,participant_15,Confidence bands,4.0,artemisstreet,1.0,easy,0.889,0.11099999999999999,0.11099999999999999
15,participant_16,No AI,4.0,artemisstreet,1.0,easy,0.889,0.11099999999999999,0.11099999999999999
16,participant_17,Confidence bands,4.0,artemisstreet,1.5,easy,0.889,0.611,0.611
17,participant_18,Error bars,5.0,artemisstreet,1.0,easy,0.889,0.11099999999999999,0.11099999999999999
18,participant_19,Confidence bands,5.0,artemisstreet,1.0,easy,0.889,0.11099999999999999,0.11099999999999999
19,participant_20,No AI,4.0,artemisstreet,1.0,easy,0.889,0.11099999999999999,0.11099999999999999
20,participant_21,Confidence bands,4.0,artemisstreet,1.0,easy,0.889,0.11099999999999999,0.11099999999999999
21,participant_22,Error bars,3.0,artemisstreet,1.5,easy,0.889,0.611,0.611
22,participant_23,No AI,3.0,artemisstreet,1.5,easy,0.889,0.611,0.611
23,participant_24,Error bars,4.0,artemisstreet,1.0,easy,0.889,0.11099999999999999,0.11099999999999999
24,participant_25,Confidence bands,2.0,artemisstreet,1.5,easy,0.889,0.611,0.611
25,participant_26,No AI,4.0,artemisstreet,1.0,easy,0.889,0.11099999999999999,0.11099999999999999
