seed,train,test
seed_0,41.40324729285919,53.20870434051154
seed_1,43.09252148311533,52.44021552649589
seed_2,42.26182317162195,53.01411950449025
seed_3,42.46888579424702,53.19521067227371
seed_4,47.01094227068856,51.0861789981972
seed_5,37.18121123551326,54.099215285119854
seed_6,42.716074666790625,51.189872385019434
seed_7,45.330943146644536,53.34935510442137
seed_8,47.08286167397225,51.572557387246405
seed_9,43.06424196487445,53.85608883625421
seed_10,41.9278192719686,53.196127101637636
seed_11,40.80958401519807,52.50292611266561
seed_12,43.28697484490496,52.76941577590831
seed_13,43.23623844230814,52.3996089687518
seed_14,46.108321336364455,51.712838582262094
seed_15,44.0914579910327,52.53746777141601
seed_16,36.541182327641486,54.165822791592056
seed_17,40.67190640815388,52.921232872246684
seed_18,43.2281313362623,53.77456117286705
seed_19,40.59688112976308,53.45059160139086
seed_20,37.031401937982515,55.31435970881443
seed_21,41.20106975065438,50.7006029488627
seed_22,33.64982010835575,55.50350371894586
seed_23,44.07837162746925,51.87785803718786
seed_24,47.34520657030522,53.01897341835955
seed_25,46.663339811808896,53.00490990920596
seed_26,42.461190856668466,54.42480171175986
seed_27,38.09471960802901,54.73884885265649
seed_28,40.97926698729124,54.58004608021681
seed_29,43.60749467715737,53.92953243529122
seed_30,41.69053903538118,53.19721719087866
seed_31,47.971247603669084,51.75960616812545
seed_32,39.37220583053304,54.08634910943096
seed_33,47.477764061695105,52.018160754987555
seed_34,45.19484400776365,52.98037371867959
seed_35,49.95817827988487,51.59647691071586
seed_36,42.96958892248053,53.881444055764184
seed_37,42.38659003780418,51.15186212076865
seed_38,42.34548520610154,53.101130714554344
seed_39,34.01889155581544,54.653187393585995
seed_40,48.05925551194893,53.16433944053432
seed_41,42.40969161133108,53.798457486713524
seed_42,45.94157735920612,52.63043636549481
seed_43,42.002659217729274,50.96621650588181
seed_44,45.767369336591834,52.953229710499514
seed_45,42.01261320377918,53.209490097379316
seed_46,38.26758045742007,56.381244612444696
seed_47,43.53381771433203,53.89823283584111
seed_48,43.725306171655795,53.14207339146653
seed_49,45.83588831479459,53.17152660640443
seed_50,46.51563129034557,50.79150892185653
seed_51,48.04809137683641,49.967433067225755
seed_52,49.88479600968093,52.462733132789694
seed_53,38.83706813937743,55.12265584166965
seed_54,44.1365190902657,51.34359812716084
seed_55,40.41287811789188,52.34357042862551
seed_56,48.90738358120626,51.44689675392129
seed_57,41.50112621265583,52.16805074658522
seed_58,37.8898745118177,54.33090636677213
seed_59,49.55757479486147,52.18735749764391
seed_60,37.47768775634559,55.15338245079203
seed_61,45.27848483198557,52.449126049802
seed_62,36.25960583154349,55.34517467365636
seed_63,43.19607620837852,53.85974781455592
seed_64,45.70587529615752,50.90304317661372
seed_65,46.25691887855153,53.624989994219234
seed_66,45.02421054423896,53.12433293414103
seed_67,41.54857202051042,53.2420187670569
seed_68,43.65248601296725,52.69204750395973
seed_69,46.81592176514793,52.28180499399142
seed_70,48.39052452026438,51.56832368767228
seed_71,39.54763788096877,53.48242474046115
seed_72,46.73449508026289,51.1100708703642
seed_73,45.32716064694314,51.938173553537574
seed_74,43.43319681010185,52.53371075209707
seed_75,48.573590701686456,51.521307004311
seed_76,47.31044196604051,51.18812982234719
seed_77,40.00028942265153,53.27504033633339
seed_78,44.592416446233884,52.336672842285374
seed_79,42.11604731633886,53.5104010045999
seed_80,43.53231010180292,53.8198338823385
seed_81,41.55219189069097,53.40747096433149
seed_82,47.1926576164904,51.42123771835294
seed_83,49.80263869200642,50.6471043598229
seed_84,43.184134209354156,51.870945344549526
seed_85,42.13652164795853,52.08172384681773
seed_86,42.983789367244,52.906997425035655
seed_87,46.614651881223686,51.33572872872313
seed_88,45.13465675101012,51.9193763143143
seed_89,43.16763171503285,52.9047505394084
seed_90,43.54729522466276,53.45935471188394
seed_91,49.094066786366255,51.64918803066831
seed_92,45.59540772948904,53.94260142003527
seed_93,41.56889449348093,54.39340095898693
seed_94,41.17749227851689,53.43416145414666
seed_95,47.104477963659164,53.19601900927362
seed_96,37.968920501189885,54.44254395581201
seed_97,41.27984706458404,51.85298054489073
seed_98,42.50464677092523,53.66422647012276
seed_99,44.35755329246343,51.50064199948389
seed_100,43.832417297241356,53.57360854702493
seed_101,41.789772329059666,52.49555382237319
seed_102,46.533361987365524,51.66416138982394
seed_103,44.5777346382672,52.50010838940687
seed_104,38.41913141490334,52.682471840713426
seed_105,45.79162326508403,51.29288147624753
seed_106,44.496752403543326,52.27007153533774
seed_107,40.8615388012137,53.55212869715096
seed_108,44.80645689053664,54.78227822123932
seed_109,45.103266595194796,52.85542005662814
seed_110,43.210639056161014,53.32364086659755
seed_111,49.46095551866789,51.96030461665106
seed_112,48.055853061783466,52.559669642501206
seed_113,47.033547463914566,53.46546296600137
seed_114,39.3732650756239,52.08256455475918
seed_115,45.78109796326469,51.65402819645505
seed_116,47.1877775928525,52.19849254353503
seed_117,43.299859448147664,51.84550652649638
seed_118,48.05346335232786,51.957703305385095
seed_119,47.36502948595217,51.33438018594417
seed_120,45.25491206933359,54.31030095795059
seed_121,42.497122335985786,52.952574829697134
seed_122,46.259053658930355,52.20484606557293
seed_123,40.195865799211845,53.8932217559401
seed_124,35.86492525632938,55.91966332920164
seed_125,48.500931665935646,53.07346090828982
seed_126,45.77379194469806,50.077570515146405
seed_127,47.15475115733717,52.44660265861725
seed_128,46.67477747293626,51.70074261554805
