seed,train,test
seed_0,22.90645824143634,53.826434955326555
seed_1,22.38758754614627,54.72393352090107
seed_2,22.1229183492567,53.91930880304154
seed_3,22.727444637986192,55.3428899750141
seed_4,22.57767702003933,53.326509850251675
seed_5,22.046825812553852,54.275042695059774
seed_6,20.810684746572182,53.42738617280867
seed_7,22.1613751487774,58.17095952951326
seed_8,22.719349916009058,55.05974947599698
seed_9,21.758803756389984,55.090293645365364
seed_10,20.746113098894483,55.3772948747088
seed_11,22.787022040732932,54.7050635045213
seed_12,22.22468333278169,55.90574245393619
seed_13,21.989622750563985,54.501255103576916
seed_14,22.072859148394176,54.42590511136228
seed_15,22.638312448817892,53.72625289894874
seed_16,21.632976572325592,55.73630098231323
seed_17,21.365190040216014,55.064036112817845
seed_18,21.931951897064508,54.86240414677473
seed_19,21.056936892337376,54.02358180471965
seed_20,21.802845084710363,56.14806040853458
seed_21,22.148155380130966,55.599607932495275
seed_22,21.399076215546966,54.41265876345196
seed_23,22.449746404722784,55.58979152100064
seed_24,22.345849463772367,53.16399660326019
seed_25,22.194856727438342,53.77278818731834
seed_26,22.322640599475086,55.07738855771103
seed_27,22.372549087028844,53.72131863985185
seed_28,22.888323624357756,55.04180888963131
seed_29,23.047607152469112,56.03674212995725
seed_30,22.53953861013077,51.65531840092677
seed_31,22.083986322535598,55.08912301132868
seed_32,22.490745234698675,54.628922464779784
seed_33,22.628675492512915,54.329088252400105
seed_34,22.06205633943134,56.14196367596398
seed_35,23.920669282848124,56.307802211484336
seed_36,22.295420374977677,53.88993013228837
seed_37,21.832245100684528,53.61434857418028
seed_38,22.224977392019042,54.03603731967661
seed_39,21.410350849176865,55.991350706449154
seed_40,22.13038771928907,53.994452492825594
seed_41,22.61165723256547,56.05960007593845
seed_42,23.26828192925713,55.1185970267953
seed_43,21.679304053461316,53.66349663212897
seed_44,23.177451849640935,52.71817892116575
seed_45,20.816849472715536,56.576061519680316
seed_46,21.737099099758627,57.994669543895306
seed_47,22.420676747889065,55.22466902154621
seed_48,22.671801802452688,54.62082780713854
seed_49,21.80968641661106,53.84839717811186
seed_50,22.13124340089587,53.189305326574775
seed_51,22.422386177522217,52.33194056568882
seed_52,22.099886011978075,55.359055591249536
seed_53,21.625247423702778,55.65271328071631
seed_54,21.89185267711172,53.609929505391385
seed_55,22.05126457412776,56.06226191687199
seed_56,22.81278552332734,54.00900159055885
seed_57,22.199614016914797,54.23811358416275
seed_58,20.94592711910332,53.98047806716379
seed_59,22.705541248979085,51.97719828514263
seed_60,21.191671462957785,56.75367915609356
seed_61,22.088989424323575,54.35408139270633
seed_62,22.320411427388134,54.74915386960973
seed_63,23.467864221875065,55.51885873539638
seed_64,22.49862405725508,53.69161563864176
seed_65,22.897916017719723,54.74878725248604
seed_66,22.4760782766249,54.03754216210567
seed_67,21.65769657265826,53.26704245928762
seed_68,21.028873999020174,54.875241280726755
seed_69,22.613043090283764,53.15293895074028
seed_70,21.758106961787966,53.86851342112799
seed_71,21.226846325449348,53.78324121838564
seed_72,21.707479439961784,53.95992929631136
seed_73,22.761964636008663,55.543894819191365
seed_74,22.221447887392966,55.89946406850488
seed_75,22.832563095281262,53.47844799543083
seed_76,21.8579728710213,54.005719838558754
seed_77,22.291785440068736,55.130748460751896
seed_78,21.45591622161801,55.524397512274945
seed_79,21.63584375171176,54.83746608402739
seed_80,22.10929410013039,54.563669200569834
seed_81,21.888864904745102,55.50435238526673
seed_82,22.426843527479758,54.91572844219658
seed_83,23.511933382085708,53.657015143942765
seed_84,20.864703702810175,54.95666376459575
seed_85,21.967724818745367,55.690133947595456
seed_86,22.18056477612504,56.03212254861822
seed_87,21.937635348801148,53.56390582044567
seed_88,23.171970226259717,55.376983201862174
seed_89,21.75652914017474,53.610805813753636
seed_90,22.45311681981463,53.61768282232975
seed_91,22.8797714016976,54.25706041147439
seed_92,23.045976568261295,56.986989013755874
seed_93,22.315398873736033,56.18462521110521
seed_94,21.600754195587285,54.91095670530733
seed_95,22.52055899112469,55.994441076420024
seed_96,22.205706985531283,54.233361400193935
seed_97,21.820615026884898,54.643759031783276
seed_98,21.819746990103283,54.431164817324884
seed_99,22.53564177031575,52.84604900563161
seed_100,21.554787347031695,54.30415236466677
seed_101,22.398097178041034,55.86022140982845
seed_102,22.181064960975846,54.184299510865195
seed_103,22.407129876853528,55.063797513695086
seed_104,22.484894938130974,53.37955050728275
seed_105,22.18463939305753,55.10944053386004
seed_106,21.238575609946018,53.101718300982064
seed_107,21.549944860366775,54.97303881567048
seed_108,22.748963213138467,55.9454643962927
seed_109,23.29994275906612,55.39130554822732
seed_110,21.47217754938053,54.77670420530524
seed_111,23.707743780282325,53.44405664815533
seed_112,22.12655696456321,55.07436298702842
seed_113,22.572986763815592,54.325364107323374
seed_114,20.474201791892927,55.84343667992434
seed_115,22.347089889181355,53.13666330924863
seed_116,22.957262244717402,53.14208552486988
seed_117,21.915342790410833,54.13667169739852
seed_118,22.530637945076503,55.27921832525932
seed_119,21.502989749842186,54.566706223574535
seed_120,21.601873752552397,57.06231343546055
seed_121,22.419516440464154,54.33004553941223
seed_122,21.910883693781596,54.739693247714975
seed_123,22.319205939904737,56.623325522777506
seed_124,22.05503636738481,56.42421658165873
seed_125,22.511782638781796,55.4433632060277
seed_126,22.09893903424764,52.970761205561594
seed_127,22.675034813377437,54.69559565696001
seed_128,22.35024591417827,54.23209922653607
